,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.address,venue.location.crossStreet,venue.location.postalCode,venue.venuePage.id,venue.location.neighborhood
89,e-0-541193bb498e516757fdf7fa-89,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",541193bb498e516757fdf7fa,The Forum Sujana Mall,17.484023845989462,78.38951586383997,"[{'label': 'display', 'lat': 17.484023845989462, 'lng': 78.38951586383997}]",13043,IN,Hyderabad,Telangana,India,"['Plot No. S-16, Survey No. 1009, K P H B Phase 6, Kukatpally,', 'Hyderabad 500072', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d1fd941735', 'name': 'Shopping Mall', 'pluralName': 'Shopping Malls', 'shortName': 'Mall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mall_', 'suffix': '.png'}, 'primary': True}]",0,[],"Plot No. S-16, Survey No. 1009, K P H B Phase 6, Kukatpally,",,500072,,KPHB Colony
90,e-0-521dc53f11d2e4a985bf89e4-90,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",521dc53f11d2e4a985bf89e4,Asian Shiva ganga,17.361122238486274,78.52321512540667,"[{'label': 'display', 'lat': 17.361122238486274, 'lng': 78.52321512540667}]",7285,IN,Hyderabad,Telangana,India,"['Survey No.102, Near City Bus Stop, Kalyan Nagar, Dilsukhnagar', 'Hyderabad 500060', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d180941735', 'name': 'Multiplex', 'pluralName': 'Multiplexes', 'shortName': 'Cineplex', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_', 'suffix': '.png'}, 'primary': True}]",0,[],"Survey No.102, Near City Bus Stop, Kalyan Nagar, Dilsukhnagar",,500060,,Dilsukhnagar
91,e-0-4f2259f9e4b05160acc7daee-91,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4f2259f9e4b05160acc7daee,Reshmi's Classic Restaurant,17.442356689880704,78.49034788791927,"[{'label': 'display', 'lat': 17.442356689880704, 'lng': 78.49034788791927}]",6725,IN,Secunderabad,Telangana,India,"['108/A, 1-7-395 (Park Lane, Paradise Circle)', 'Secunderabad', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d10f941735', 'name': 'Indian Restaurant', 'pluralName': 'Indian Restaurants', 'shortName': 'Indian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/indian_', 'suffix': '.png'}, 'primary': True}]",0,[],"108/A, 1-7-395","Park Lane, Paradise Circle",,,
92,e-0-55e9d8dc498e8a5c51f30331-92,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",55e9d8dc498e8a5c51f30331,Cinepolis CCPL,17.45728215392065,78.53682348691787,"[{'label': 'display', 'lat': 17.45728215392065, 'lng': 78.53682348691787}]",11085,IN,Hyderabad,Telangana,India,"['Malkajgiri', 'Hyderabad', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d180941735', 'name': 'Multiplex', 'pluralName': 'Multiplexes', 'shortName': 'Cineplex', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_', 'suffix': '.png'}, 'primary': True}]",0,[],Malkajgiri,,,,
93,e-0-4c1f7229b306c928046b68b7-93,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c1f7229b306c928046b68b7,Fifth Avenue Bakers,17.487673346331192,78.54279287522861,"[{'label': 'display', 'lat': 17.487673346331192, 'lng': 78.54279287522861}]",14018,IN,,Andhra Pradesh,India,"['Sainikpuri', 'Andhra Pradesh', 'India']","[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",0,[],Sainikpuri,,,,
94,e-0-4ce9450cf1c6236abf8b64f0-94,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4ce9450cf1c6236abf8b64f0,Kamat Hotel,17.44071843702911,78.4970804111213,"[{'label': 'display', 'lat': 17.44071843702911, 'lng': 78.4970804111213}]",6932,IN,,Andhra Pradesh,India,"['Andhra Pradesh', 'India']","[{'id': '4bf58dd8d48988d10f941735', 'name': 'Indian Restaurant', 'pluralName': 'Indian Restaurants', 'shortName': 'Indian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/indian_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,
95,e-0-4bc763906501c9b612563e29-95,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4bc763906501c9b612563e29,Talwalkars,17.443108320637883,78.50717690782656,"[{'label': 'display', 'lat': 17.443108320637883, 'lng': 78.50717690782656}]",7781,IN,Secunderabad,Telangana,India,"['25/B/B, Srila Heights, St Johns Road, (East Marredpally)', 'Secunderabad India', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d176941735', 'name': 'Gym', 'pluralName': 'Gyms', 'shortName': 'Gym', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}, 'primary': True}]",0,[],"25/B/B, Srila Heights, St Johns Road,",East Marredpally,India,,
96,e-0-57b60e51498e5f6a7af5dac7-96,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",57b60e51498e5f6a7af5dac7,DRIVEN CAFE,17.422014480942593,78.33835141925407,"[{'label': 'display', 'lat': 17.422014480942593, 'lng': 78.33835141925407}]",13549,IN,Hyderabad,Telangana,India,"['Hyderabad', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,
97,e-0-4fe493bbe4b06f68c3eda69a-97,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4fe493bbe4b06f68c3eda69a,friends corner,17.456899402827265,78.50843434632971,"[{'label': 'display', 'lat': 17.456899402827265, 'lng': 78.50843434632971}]",9099,IN,Secunderabad,Telangana,India,"['west marredpally', 'Secunderabad', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d1c7941735', 'name': 'Snack Place', 'pluralName': 'Snack Places', 'shortName': 'Snacks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/snacks_', 'suffix': '.png'}, 'primary': True}]",0,[],,west marredpally,,,
98,e-0-5544c61b498eb2d80a71d50e-98,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5544c61b498eb2d80a71d50e,Jewel of Nizam- The Minar,17.388673812598803,78.31622180503484,"[{'label': 'display', 'lat': 17.388673812598803, 'lng': 78.31622180503484}]",15386,IN,Hyderabad,Telangana,India,"['The Golkonda Resorts & Spa (SagarMahal Complex, Gandipet)', 'Hyderabad 500075', 'Telangana', 'India']","[{'id': '54135bf5e4b08f3d2429dfe6', 'name': 'Hyderabadi Restaurant', 'pluralName': 'Hyderabadi Restaurants', 'shortName': 'Hyderabadi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",0,[],The Golkonda Resorts & Spa,"SagarMahal Complex, Gandipet",500075,,
99,e-0-5c0413f7724750002cd8f006-99,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5c0413f7724750002cd8f006,Amb Cinemas,17.45737932852447,78.36372273216537,"[{'label': 'display', 'lat': 17.45737932852447, 'lng': 78.36372273216537}]",12852,IN,Hyderabad,TG,India,"['Kondapur', 'Hyderabad 500084', 'TG', 'India']","[{'id': '4bf58dd8d48988d17f941735', 'name': 'Movie Theater', 'pluralName': 'Movie Theaters', 'shortName': 'Movie Theater', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_', 'suffix': '.png'}, 'primary': True}]",0,[],Kondapur,,500084,,Kondapur
