position.lat,position.lng,Restaurants,Department Stores,Gyms,Cluster
13.08951,80.21554,20,20,8,0
13.0892,80.21542,20,20,9,1
13.08909,80.21489,20,20,9,0
13.08881,80.21463,20,20,9,0
13.08934,80.21452,20,20,9,0
13.08897,80.21394,20,20,9,2
13.08819,80.2134,20,20,10,0
13.08989,80.21356,20,20,9,0
13.08819,80.21326,20,20,10,2
13.08876,80.21226,20,20,9,2
13.07096,80.21349,20,20,9,0
13.08774,80.21197,20,20,10,0
13.03723,80.23575,20,20,12,0
13.13559,80.2434,20,11,9,2
13.08901,80.2105,20,20,11,0
13.02541,80.25867,20,20,10,0
13.08929,80.20952,20,20,10,0
13.03713,80.23231,20,20,15,1
13.08453,80.20866,20,20,7,0
13.09109,80.20792,20,20,6,0
13.0911,80.20764,20,20,6,0
13.08403,80.207,20,20,7,0
13.09108,80.20725,20,20,6,0
13.09116,80.20725,20,20,6,0
12.96281,77.55707,20,20,8,1
12.96296,77.5567,20,20,8,2
12.96337,77.55716,20,20,8,1
12.96441,77.56154,20,20,9,1
12.96554,77.56001,20,20,7,1
12.96428,77.56334,20,20,19,0
12.97233,77.55161,20,20,6,1
12.97229,77.55147,20,20,6,1
12.94697,77.54789,20,20,7,1
12.95071,77.57154,20,20,10,1
12.9671,77.54284,20,20,13,0
12.94497,77.54807,20,20,10,1
12.94561,77.54688,20,20,9,1
12.96357,77.54086,20,20,11,0
12.97285,77.54715,20,20,8,1
12.96375,77.5404,20,20,11,0
12.96896,77.54296,20,20,14,0
12.9738,77.54842,20,20,7,1
12.94413,77.54753,20,20,10,1
12.94303,77.54922,20,20,12,0
12.96234,77.53963,20,20,11,0
12.9681,77.54186,20,20,15,0
12.96451,77.53988,20,20,10,1
12.96863,77.54173,20,20,15,0
12.95799,77.53848,20,20,8,1
12.95866,77.53841,20,20,9,1
12.95876,77.53836,20,20,9,1
12.95873,77.53823,20,20,10,1
12.95878,77.53801,20,20,10,1
12.96895,77.54108,20,20,14,0
12.96023,77.53794,20,20,12,0
12.95752,77.53774,20,20,9,1
12.96921,77.54075,20,20,15,0
12.96649,77.53898,20,20,12,0
12.95915,77.53733,20,20,12,0
12.95714,77.53738,20,20,9,1
12.95685,77.53728,20,20,9,1
12.969,77.54004,20,20,14,0
12.96416,77.53742,20,20,12,0
12.95607,77.53664,20,20,8,1
12.95592,77.53631,20,20,8,1
